Standard Designation Number/Date,Title of Standard,Specialty Task Group,Date of Recogntion,Standard Developing Organization,Recognition Number
9626 Second edition 2016-08-01,Stainless steel needle tubing for the manufacture of medical devices - Requirements and test methods,General Plastic Surgery/General Hospital,09/21/2016,ISO," "6-380
6009 Fourth edition 2016-08-01,Hypodermic needles for single use - Colour coding for identification. ,General Plastic Surgery/General Hospital,09/21/2016,ISO," "6-381
11608-7 First edition 2016-08-01,Needle-based injection systems for medical use - Requirements and test methods - Part 7: Accessibility for persons with visual impairment,General Plastic Surgery/General Hospital,09/21/2016,ISO," "6-382
C62-A,Liquid Chromatography-Mass Spectrometry Methods; Approved Guideline.,InVitro Diagnostics,09/21/2016,CLSI," "7-265
EP19 2nd Edition (Replaces EP19-R),A Framework for Using CLSI Documents to Evaluate Clinical Laboratory Measurement Procedures,InVitro Diagnostics,09/21/2016,CLSI," "7-266
18189 First edition 2016-06-01 ,Ophthalmic optics - Contact lenses and contact lens care products - Cytotoxicity testing of contact lenses in combination with lens care solution to evaluate lens/solution interactions,Ophthalmic,09/21/2016,ISO," "10-101
Z80.36-2016,American National Standard for Ophthalmics - Light Hazard Protection for Ophthalmic Instruments,Ophthalmic,09/21/2016,ANSI," "10-102
F1608-16,Standard Test Method for Microbial Ranking of Porous Packaging Materials (Exposure Chamber Method),Sterility,12/23/2016,ASTM," "14-496
F1980-16,Standard Guide for Accelerated Aging of Sterile Barrier Systems for Medical Devices,Sterility,12/23/2016,ASTM," "14-497
D4169-16,Standard Practice for Performance Testing of Shipping Containers and Systems,Sterility,12/23/2016,ASTM," "14-499
14408 Third edition 2016-02-15,Tracheal tubes designed for laser surgery - Requirements for marking and accompanying information,Anesthesiology,12/23/2016,ISO," "1-119
F2391-05 (Reapproved 2016) ,Standard Test Method for Measuring Package and Seal Integrity Using Helium as the Tracer Gas,Sterility,12/23/2016,ASTM," "14-169
F3001-14 ,Standard Specification for Additive Manufacturing Titanium-6 Aluminum-4 Vanadium ELI (Extra Low Interstitial) with Powder Bed Fusion,Materials,12/23/2016,ASTM," "8-439
F3091/F3091M-14 ,Standard Specification for Powder Bed Fusion of Plastic Materials,Materials,12/23/2016,ASTM," "8-440
F3109-16  ,Standard Test Method for Verification of Multi-Axis Force Measuring Platforms,Materials,12/23/2016,ASTM," "8-441
F3127-16  ,Standard Guide for Validating Cleaning Processes Used During the Manufacture of Medical Devices,Materials,12/23/2016,ASTM," "8-442
F3160-16 ,Standard Guide for Metallurgical Characterization of Absorbable Metallic Materials for Medical Implants,Materials,12/23/2016,ASTM," "8-443
17296-2 First edition 2015-01-15 ,Additive manufacturing - General principles - Part 2: Overview of process categories and feedstock,Materials,12/23/2016,ISO," "8-444
17296-4 First edition 2014-09-01 ,Additive manufacturing  - General principles - Part 4: Overview of data processing,Materials,12/23/2016,ISO," "8-445
F3129-16 ,Standard Guide for Characterization of Material Loss from Conical Taper Junctions in Total Joint Prostheses,Orthopedic,12/23/2016,ASTM," "11-317
7206-12 First edition 2016-10-01 ,Implants for surgery - Partial and total hip joint prostheses - Part 12: Deformation test method for acetabular shells,Orthopedic,12/23/2016,ISO," "11-319
7206-13 First edition 2016-07-01,Implants for surgery - Partial and total hip joint prostheses - Part 13: Determination of resistance to torque of head fixation of stemmed femoral components,Orthopedic,12/23/2016,ISO," "11-320
F763-04 (Reapproved 2016),Standard Practice for Short-Term Screening of Implant Materials,Biocompatibility,12/23/2016,ASTM," "2-93
F981-04 (Reapproved 2016),Standard Practice for Assessment of Compatibility of Biomaterials for Surgical Implants with Respect to Effect of Materials on Muscle and Bone,Biocompatibility,12/23/2016,ASTM," "2-94
F748-16,Standard Practice for Selecting Generic Biological Test Methods for Materials and Devices,Biocompatibility,12/23/2016,ASTM," "2-244
F895-11 (Reapproved 2016),Standard Test Method for Agar Diffusion Cell Culture Screening for Cytotoxicity,Biocompatibility,12/23/2016,ASTM," "2-189
5832-1 Fifth edition 2016-07-15 ,Implants for surgery - Metallic materials - Part 1: Wrought stainless steel,Materials,12/23/2016,ISO," "8-435
F2625-10 (Reapproved 2016) ,Standard Test Method for Measurement of Enthalpy of Fusion Percent Crystallinity and Melting Point of Ultra-High-Molecular Weight Polyethylene by Means of Differential Scanning Calorimetry,Materials,12/23/2016,ASTM," "8-368
F2082/F2082M-16 ,Standard Test Method for Determination of Transformation Temperature of Nickel-Titanium Shape Memory Alloys by Bend and Free Recovery,Materials,12/23/2016,ASTM," "8-437
14243-2 Third edition 2016-09-01 ,Implants for surgery - Wear of total knee-joint prostheses - Part 2: Methods of measurement,Orthopedic,12/23/2016,ISO," "11-311
7206-4 Third edition 2010-06-15,Implants for surgery - Partial and total hip joint prostheses - Part 4: Determination of endurance properties and performance of stemmed femoral components [Including AMENDMENT 1 (2016)],Orthopedic,12/23/2016,ISO," "11-312
14242-2 Second edition 2016-09-15 ,Implants for surgery - Wear of total hip-joint prostheses - Part 2: Methods of measurement,Orthopedic,12/23/2016,ISO," "11-314
F1264-16,Standard Specification and Test Methods for Intramedullary Fixation Devices,Orthopedic,12/23/2016,ASTM," "11-316
F2605-16,Standard Test Method for Determining the Molar Mass of Sodium Alginate by Size Exclusion Chromatography with Multi-angle Light Scattering Detection (SEC-MALS),Tissue Engineering,12/23/2016,ASTM," "15-48
EP21 2nd Edition (Replaces EP21-A),Evaluation of Total Analytical Error for Quantitative Medical Laboratory Measurement Procedures,InVitro Diagnostics,12/23/2016,CLSI," "7-268
C24 4th Edition (Replaces C24-A3),Statistical Quality Control for Quantitative Measurement Procedures: Principles and Definitions,InVitro Diagnostics,12/23/2016,CLSI," "7-267
7198 Second edition 2016-08-01,Cardiovascular implants and extracorporeal systems - Vascular prostheses - Tubular vascular grafts and vascular patches,Cardiovascular,12/23/2016,ISO," "3-144
D7386-16,Standard Practice for Performance Testing of Packages for Single Delivery Systems,General I (QS/RM),12/23/2016,ASTM," "5-113
61303 Edition 1.0 1994-09,Medical electrical equipment - Radionuclide calibrators - Particular methods for describing performance [Including CORRIGENDUM 1 (2016)],Radiology,12/23/2016,IEC," "12-303
60731 Edition 3.1 2016-04,Consolidated Version Medical electrical equipment - Dosimeters with ionization chambers as used in radiotherapy,Radiology,12/23/2016,IEC," "12-304
C63.16-2016 (Revision of ANSI C63.16-1993),American National Standard Guide for Electrostatic Discharge Test Methodologies and Acceptance Criteria for Electronic Equipment,General II (ES/EMC),12/23/2016,ANSI IEEE," "19-20
7176-28 First edition 2012-10-1,Wheelchairs Part 28: Requirements and test methods for stairclimbing devices,Physical Medicine,12/23/2016,ISO," "16-199
15026-1 First edition 2013-11-01,Systems and software engineering - Systems and software assurance - Part 1: Concepts and vocabulary,Software/Informatics,12/23/2016,IEC ISO," "13-86
15026-2 First edition 2011-02-15,Systems and software engineering - Systems and software assurance - Part 2: Assurance case,Software/Informatics,12/23/2016,IEC ISO," "13-87
AUTO11-A2,Information Technology Security of In Vitro Diagnostic Instruments and Software Systems; Approved Standard - Second Edition,Software/Informatics,12/23/2016,CLSI," "13-85
14644-1 Second edition 2015-12-15 ,Cleanrooms and associated controlled environments - Part 1: Classification of air cleanliness by particle concentration,Sterility,12/23/2016,ISO," "14-500
TIR69: 2017,Technical Information Report Risk management of radio-frequency wireless coexistence for medical devices and systems.,General II (ES/EMC),08/21/2017,AAMI," "19-22
60086-4 Edition 4.0 2014-09,Primary batteries - Part 4: Safety of lithium batteries,General II (ES/EMC),08/21/2017,IEC," "19-23
F2027-16,Standard Guide for Characterization and Testing of Raw or Starting Materials for Tissue-Engineered Medical Products,Tissue Engineering,08/21/2017,ASTM," "15-49
F1582-98 (Reapproved 2016),Standard Terminology Relating to Spinal Implants,Orthopedic,08/21/2017,ASTM," "11-175
F1839-08 (Reapproved 2016),Standard Specification for Rigid Polyurethane Foam for Use as a Standard Material for Testing Orthopaedic Devices and Instruments,Orthopedic,08/21/2017,ASTM," "11-242
F2423-11 (Reapproved 2016),Standard Guide for Functional Kinematic and Wear Assessment of Total Disc Prostheses,Orthopedic,08/21/2017,ASTM," "11-269
F2624-12 (Reapproved 2016),Standard Test Method for Static Dynamic and Wear Assessment of Extra-Discal Single Level Spinal Constructs,Orthopedic,08/21/2017,ASTM," "11-280
F116-12 (Reapproved 2016) ,Standard Specification for Medical Screwdriver Bits,Orthopedic,08/21/2017,ASTM," "11-309
F2887-17 ,Standard Specification for Total Elbow Prostheses,Orthopedic,08/21/2017,ASTM," "11-321
F1877-16,Standard Practice for Characterization of Particles,Biocompatibility,08/21/2017,ASTM," "2-246
F2147-01 (Reapproved 2016),Standard Practice for Guinea Pig: Split Adjuvant and Closed Patch Testing for Contact Allergens,Biocompatibility,08/21/2017,ASTM," "2-155
10993-6 Third edition 2016-12-01,Biological evaluation of medical devices -- Part 6: Tests for local effects after implantation,Biocompatibility,08/21/2017,ISO," "2-247
10993-4 Third edition 2017-04,Biological evaluation of medical devices--Part 4: Selection of tests for interactions with blood,Biocompatibility,08/21/2017,ISO," "2-248
5832-3 Fourth edition 2016-10-15 ,Implants for surgery -- Metallic materials -- Part 3: Wrought titanium 6-aluminium 4-vanadium alloy,Materials,08/21/2017,ISO," "8-447
F1058-16,Standard Specification for Wrought 40Cobalt-20Chromium-16Iron-15Nickel-7Molybdenum Alloy Wire Strip and Strip Bar for Surgical Implant Applications (UNS R30003 and UNS R30008),Materials,08/21/2017,ASTM," "8-449
F451-16,Standard Specification for Acrylic Bone Cement,Materials,08/21/2017,ASTM," "8-450
F2024-10 (Reapproved 2016),Standard Practice for X-Ray Diffraction Determination of Phase Content of Plasma-Sprayed Hydroxyapatite Coatings,Materials,08/21/2017,ASTM," "8-195
F2214-16,Standard Test Methods for In Situ Determination of Network Parameters of Crosslinked Ultra High Molecular Weight Polyethylene (UHMWPE),Materials,08/21/2017,ASTM," "8-451
F1635-16,Standard Test Method for in vitro Degradation Testing of Hydrolytically Degradable Polymer Resins and Fabricated Forms for Surgical Implants,Materials,08/21/2017,ASTM," "8-452
13175-3 First edition 2012-10-01 ,Implants for surgery -- Calcium phosphates -- Part 3: Hydroxyapatite and beta-tricalcium phosphate bone substitutes,Materials,08/21/2017,ISO," "8-457
G5-14,Standard Reference Test Method for Making Potentiodynamic Anodic Polarization Measurements,Materials,08/21/2017,ASTM," "8-458
F1295-16,Standard Specification for Wrought Titanium-6 Aluminum-7Niobium Alloy for Surgical Implant Applications (UNS R56700),Materials,08/21/2017,ASTM," "8-453
60086-5 Edition 4.0 2016-07,Primary batteries - Part 5: Safety of batteries with aqueous electrolyte,General II (ES/EMC),08/21/2017,IEC," "19-24
62485-1 Edition 1.0 2015-04,Safety requirements for secondary batteries and battery installations - Part 1: General safety information.,General II (ES/EMC),08/21/2017,IEC," "19-25
62485-2 Edition 1.0 2010-06,Safety requirements for secondary batteries and battery installations - Part 2: Stationary batteries.,General II (ES/EMC),08/21/2017,IEC," "19-26
F603-12 (Reapproved 2020),Standard Specification for High-Purity Dense Aluminum Oxide for Medical Application,Materials,08/21/2017,ASTM," "8-226
62485-3 Edition 2.0 2014-07,Safety requirements for secondary batteries and battery installations - Part 3: Traction batteries,General II (ES/EMC),08/21/2017,IEC," "19-27
62485-4 Edition 1.0 2015-01,Safety requirements for secondary batteries and battery installations - Part 4: Valve-regulated lead-acid batteries for use in portable appliances,General II (ES/EMC),08/21/2017,IEC," "19-28
F2393-12 (Reapproved 2020),Standard Specification for High-Purity Dense Magnesia Partially Stabilized Zirconia (Mg-PSZ) for Surgical Implant Applications,Materials,08/21/2017,ASTM," "8-333
F1581-08 (Reapproved 2020),Standard Specification for Composition of Anorganic Bone for Surgical Implants ,Materials,08/21/2017,ASTM," "8-428
F2902-16 ,Standard Guide for Assessment of Absorbable Polymeric Implants,Materials,08/21/2017,ASTM," "8-455
13179-1 First edition 2014-06-01 ,Implants for surgery--Plasma-sprayed unalloyed titanium coatings on metallic surgical implants -- Part 1: General requirements,Materials,08/21/2017,ISO," "8-456
MS 12-2016,Quantification and Mapping of Geometric Distortion for Special Applications,Radiology,08/21/2017,NEMA," "12-306
I/LA-20 3rd Edition (Replaces I/LA20-A3),Analytical Performance Characteristics Quality Assurance and Clinical Utility of Immunological Assays for Human Immunoglobulin E Antibodies of Defined Allergen Specificities,InVitro Diagnostics,08/21/2017,CLSI," "7-270
C57 1st Edition,Mass Spectrometry for Androgen and Estrogen Measurements in Serum,InVitro Diagnostics,08/21/2017,CLSI," "7-272
M58 1st Edition,Methods for Identification of Cultured Microorganisms Using Matrix-Assisted Laser Desorption/Ionization Time-of-Flight Mass Spectrometry,InVitro Diagnostics,08/21/2017,CLSI," "7-273
E825-98 (Reapproved 2016) ,Standard Specification for Phase Change-Type Disposable Fever Thermometer for Intermittent Determination of Human Temperature,General Plastic Surgery/General Hospital,08/21/2017,ASTM," "6-70
E1104-98 (Reapproved 2016),Standard Specification for Clinical Thermometer Probe Covers and Sheaths,General Plastic Surgery/General Hospital,08/21/2017,ASTM," "6-124
E1965-98 (Reapproved 2016) ,Standard Specification for Infrared Thermometers for Intermittent Determination of Patient Temperature,General Plastic Surgery/General Hospital,08/21/2017,ASTM," "6-125
1135-4 Sixth edition 2015-12-01 ,Transfusion equipment for medical use-Part 4: Transfusion sets for single use gravity feed,General Plastic Surgery/General Hospital,08/21/2017,ISO," "6-384
80601-2-35 Edition 2.1 2016-04,CONSOLIDATED VERSION Medical electrical equipment-Part - 2-35: Particular requirements for the basic safety and essential performance of heating devices using blankets pads or mattresses and intended for heating in medical use [Including: Amendment 1 (2016)],General Plastic Surgery/General Hospital,08/21/2017,IEC," "6-390
F3212-16,Standard Test Method for Coring Testing of Huber Needles,General Plastic Surgery/General Hospital,08/21/2017,ASTM," "6-400
F1886/F1886M-16,Standard Test Method for Determining Integrity of Seals for Flexible Packaging by Visual Inspection,Sterility,08/21/2017,ASTM," "14-501
11138-1 Third edition 2017-03,Sterilization of health care products - Biological indicators - Part 1: General requirements,Sterility,08/21/2017,ISO," "14-502
